D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2004;Población 25-34 años educ super. MUJERES;35.16401458;A
C01;2005;Población 25-34 años educ super. MUJERES;37.147278458;A
C01;2006;Población 25-34 años educ super. MUJERES;38.256095274;A
C01;2007;Población 25-34 años educ super. MUJERES;38.850918811;A
C01;2008;Población 25-34 años educ super. MUJERES;39.18696975;A
C01;2009;Población 25-34 años educ super. MUJERES;39.037060404;A
C01;2010;Población 25-34 años educ super. MUJERES;40.074078766;A
C01;2011;Población 25-34 años educ super. MUJERES;36.484960413;A
C01;2012;Población 25-34 años educ super. MUJERES;35.670056777;A
C01;2013;Población 25-34 años educ super. MUJERES;36.489326735;A
C01;2014;Población 25-34 años educ super. MUJERES;38.398387322;A
C01;2015;Población 25-34 años educ super. MUJERES;38.650108055;A
C01;2016;Población 25-34 años educ super. MUJERES;38.131895855;A
C01;2017;Población 25-34 años educ super. MUJERES;40.653661626;A
C01;2018;Población 25-34 años educ super. MUJERES;40.25165116;A
C01;2019;Población 25-34 años educ super. MUJERES;43.232007874;A
C01;2020;Población 25-34 años educ super. MUJERES;45.92956071;A
C01;2021;Población 25-34 años educ super. MUJERES;46.59994915;A
108;2004;Población 25-34 años educ super. MUJERES;43.7;A
108;2005;Población 25-34 años educ super. MUJERES;46.0;A
108;2006;Población 25-34 años educ super. MUJERES;45.8;A
108;2007;Población 25-34 años educ super. MUJERES;45.4;A
108;2008;Población 25-34 años educ super. MUJERES;45.4;A
108;2009;Población 25-34 años educ super. MUJERES;45.1;A
108;2010;Población 25-34 años educ super. MUJERES;46.4;A
108;2011;Población 25-34 años educ super. MUJERES;45.7;A
108;2012;Población 25-34 años educ super. MUJERES;46.0;A
108;2013;Población 25-34 años educ super. MUJERES;46.5;A
108;2014;Población 25-34 años educ super. MUJERES;47.5;A
108;2015;Población 25-34 años educ super. MUJERES;47.0;A
108;2016;Población 25-34 años educ super. MUJERES;47.0;A
108;2017;Población 25-34 años educ super. MUJERES;48.8;A
108;2018;Población 25-34 años educ super. MUJERES;50.1;A
108;2019;Población 25-34 años educ super. MUJERES;52.4;A
108;2020;Población 25-34 años educ super. MUJERES;53.5;A
108;2021;Población 25-34 años educ super. MUJERES;54.4;A
UE27NRU;2004;Población 25-34 años educ super. MUJERES;29.0;A
UE27NRU;2005;Población 25-34 años educ super. MUJERES;30.3;A
UE27NRU;2006;Población 25-34 años educ super. MUJERES;31.7;A
UE27NRU;2007;Población 25-34 años educ super. MUJERES;32.8;A
UE27NRU;2008;Población 25-34 años educ super. MUJERES;34.0;A
UE27NRU;2009;Población 25-34 años educ super. MUJERES;35.6;A
UE27NRU;2010;Población 25-34 años educ super. MUJERES;36.8;A
UE27NRU;2011;Población 25-34 años educ super. MUJERES;37.8;A
UE27NRU;2012;Población 25-34 años educ super. MUJERES;39.2;A
UE27NRU;2013;Población 25-34 años educ super. MUJERES;40.3;A
UE27NRU;2014;Población 25-34 años educ super. MUJERES;40.9;A
UE27NRU;2015;Población 25-34 años educ super. MUJERES;41.8;A
UE27NRU;2016;Población 25-34 años educ super. MUJERES;42.3;A
UE27NRU;2017;Población 25-34 años educ super. MUJERES;43.2;A
UE27NRU;2018;Población 25-34 años educ super. MUJERES;44.2;A
UE27NRU;2019;Población 25-34 años educ super. MUJERES;45.0;A
UE27NRU;2020;Población 25-34 años educ super. MUJERES;46.0;A
UE27NRU;2021;Población 25-34 años educ super. MUJERES;46.8;A
