D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2004;Población 25-34 años educ super. HOMBRES;28.76842276;A
C01;2005;Población 25-34 años educ super. HOMBRES;29.780789264;A
C01;2006;Población 25-34 años educ super. HOMBRES;28.004532206;A
C01;2007;Población 25-34 años educ super. HOMBRES;28.646335478;A
C01;2008;Población 25-34 años educ super. HOMBRES;28.828308322;A
C01;2009;Población 25-34 años educ super. HOMBRES;28.206133947;A
C01;2010;Población 25-34 años educ super. HOMBRES;26.977171324;A
C01;2011;Población 25-34 años educ super. HOMBRES;27.68336001;A
C01;2012;Población 25-34 años educ super. HOMBRES;28.259977145;A
C01;2013;Población 25-34 años educ super. HOMBRES;27.701341891;A
C01;2014;Población 25-34 años educ super. HOMBRES;26.626229628;A
C01;2015;Población 25-34 años educ super. HOMBRES;28.050558602;A
C01;2016;Población 25-34 años educ super. HOMBRES;27.608625989;A
C01;2017;Población 25-34 años educ super. HOMBRES;27.080439869;A
C01;2018;Población 25-34 años educ super. HOMBRES;29.661566894;A
C01;2019;Población 25-34 años educ super. HOMBRES;31.982562979;A
C01;2020;Población 25-34 años educ super. HOMBRES;32.917852676;A
C01;2021;Población 25-34 años educ super. HOMBRES;36.728117551;A
108;2004;Población 25-34 años educ super. HOMBRES;34.6;A
108;2005;Población 25-34 años educ super. HOMBRES;35.7;A
108;2006;Población 25-34 años educ super. HOMBRES;35.2;A
108;2007;Población 25-34 años educ super. HOMBRES;35.0;A
108;2008;Población 25-34 años educ super. HOMBRES;35.0;A
108;2009;Población 25-34 años educ super. HOMBRES;34.1;A
108;2010;Población 25-34 años educ super. HOMBRES;34.5;A
108;2011;Población 25-34 años educ super. HOMBRES;35.2;A
108;2012;Población 25-34 años educ super. HOMBRES;34.9;A
108;2013;Población 25-34 años educ super. HOMBRES;35.7;A
108;2014;Población 25-34 años educ super. HOMBRES;35.4;A
108;2015;Población 25-34 años educ super. HOMBRES;34.9;A
108;2016;Población 25-34 años educ super. HOMBRES;35.0;A
108;2017;Población 25-34 años educ super. HOMBRES;36.5;A
108;2018;Población 25-34 años educ super. HOMBRES;38.4;A
108;2019;Población 25-34 años educ super. HOMBRES;40.6;A
108;2020;Población 25-34 años educ super. HOMBRES;41.3;A
108;2021;Población 25-34 años educ super. HOMBRES;43.1;A
UE27NRU;2004;Población 25-34 años educ super. HOMBRES;23.5;A
UE27NRU;2005;Población 25-34 años educ super. HOMBRES;24.1;A
UE27NRU;2006;Población 25-34 años educ super. HOMBRES;24.6;A
UE27NRU;2007;Población 25-34 años educ super. HOMBRES;25.1;A
UE27NRU;2008;Población 25-34 años educ super. HOMBRES;25.9;A
UE27NRU;2009;Población 25-34 años educ super. HOMBRES;26.8;A
UE27NRU;2010;Población 25-34 años educ super. HOMBRES;27.7;A
UE27NRU;2011;Población 25-34 años educ super. HOMBRES;28.4;A
UE27NRU;2012;Población 25-34 años educ super. HOMBRES;29.1;A
UE27NRU;2013;Población 25-34 años educ super. HOMBRES;30.0;A
UE27NRU;2014;Población 25-34 años educ super. HOMBRES;30.9;A
UE27NRU;2015;Población 25-34 años educ super. HOMBRES;31.2;A
UE27NRU;2016;Población 25-34 años educ super. HOMBRES;31.5;A
UE27NRU;2017;Población 25-34 años educ super. HOMBRES;32.2;A
UE27NRU;2018;Población 25-34 años educ super. HOMBRES;33.2;A
UE27NRU;2019;Población 25-34 años educ super. HOMBRES;34.1;A
UE27NRU;2020;Población 25-34 años educ super. HOMBRES;35.2;A
UE27NRU;2021;Población 25-34 años educ super. HOMBRES;35.7;A
UE28;2004;Población 25-34 años educ super. HOMBRES;24.8;A
UE28;2005;Población 25-34 años educ super. HOMBRES;25.4;A
UE28;2006;Población 25-34 años educ super. HOMBRES;25.8;A
UE28;2007;Población 25-34 años educ super. HOMBRES;26.4;A
UE28;2008;Población 25-34 años educ super. HOMBRES;27.1;A
UE28;2009;Población 25-34 años educ super. HOMBRES;28.2;A
UE28;2010;Población 25-34 años educ super. HOMBRES;29.1;A
UE28;2011;Población 25-34 años educ super. HOMBRES;30.0;A
UE28;2012;Población 25-34 años educ super. HOMBRES;30.8;A
UE28;2013;Población 25-34 años educ super. HOMBRES;31.7;A
UE28;2014;Población 25-34 años educ super. HOMBRES;32.5;A
UE28;2015;Población 25-34 años educ super. HOMBRES;32.9;A
UE28;2016;Población 25-34 años educ super. HOMBRES;33.3;A
UE28;2017;Población 25-34 años educ super. HOMBRES;33.8;A
UE28;2018;Población 25-34 años educ super. HOMBRES;34.8;A
UE28;2019;Población 25-34 años educ super. HOMBRES;35.7;A
UE28;2020;Población 25-34 años educ super. HOMBRES;;A
UE28;2021;Población 25-34 años educ super. HOMBRES;;A
EA19;2004;Población 25-34 años educ super. HOMBRES;25.6;A
EA19;2005;Población 25-34 años educ super. HOMBRES;26.1;A
EA19;2006;Población 25-34 años educ super. HOMBRES;26.2;A
EA19;2007;Población 25-34 años educ super. HOMBRES;26.6;A
EA19;2008;Población 25-34 años educ super. HOMBRES;27.1;A
EA19;2009;Población 25-34 años educ super. HOMBRES;27.9;A
EA19;2010;Población 25-34 años educ super. HOMBRES;28.5;A
EA19;2011;Población 25-34 años educ super. HOMBRES;29.0;A
EA19;2012;Población 25-34 años educ super. HOMBRES;29.7;A
EA19;2013;Población 25-34 años educ super. HOMBRES;30.6;A
EA19;2014;Población 25-34 años educ super. HOMBRES;31.4;A
EA19;2015;Población 25-34 años educ super. HOMBRES;31.8;A
EA19;2016;Población 25-34 años educ super. HOMBRES;32.0;A
EA19;2017;Población 25-34 años educ super. HOMBRES;32.8;A
EA19;2018;Población 25-34 años educ super. HOMBRES;34.2;A
EA19;2019;Población 25-34 años educ super. HOMBRES;35.3;A
EA19;2020;Población 25-34 años educ super. HOMBRES;36.9;A
EA19;2021;Población 25-34 años educ super. HOMBRES;37.6;A
UE15;2004;Población 25-34 años educ super. HOMBRES;27.5;A
UE15;2005;Población 25-34 años educ super. HOMBRES;27.9;A
UE15;2006;Población 25-34 años educ super. HOMBRES;28.1;A
UE15;2007;Población 25-34 años educ super. HOMBRES;28.5;A
UE15;2008;Población 25-34 años educ super. HOMBRES;29.1;A
UE15;2009;Población 25-34 años educ super. HOMBRES;30.0;A
UE15;2010;Población 25-34 años educ super. HOMBRES;30.5;A
UE15;2011;Población 25-34 años educ super. HOMBRES;31.3;A
UE15;2012;Población 25-34 años educ super. HOMBRES;32.1;A
UE15;2013;Población 25-34 años educ super. HOMBRES;32.9;A
UE15;2014;Población 25-34 años educ super. HOMBRES;33.6;A
UE15;2015;Población 25-34 años educ super. HOMBRES;34.1;A
UE15;2016;Población 25-34 años educ super. HOMBRES;34.6;A
UE15;2017;Población 25-34 años educ super. HOMBRES;35.1;A
UE15;2018;Población 25-34 años educ super. HOMBRES;36.4;A
UE15;2019;Población 25-34 años educ super. HOMBRES;37.4;A
UE15;2020;Población 25-34 años educ super. HOMBRES;;A
UE15;2021;Población 25-34 años educ super. HOMBRES;;A
103;2004;Población 25-34 años educ super. HOMBRES;36.3;A
103;2005;Población 25-34 años educ super. HOMBRES;35.8;A
103;2006;Población 25-34 años educ super. HOMBRES;36.5;A
103;2007;Población 25-34 años educ super. HOMBRES;35.8;A
103;2008;Población 25-34 años educ super. HOMBRES;36.1;A
103;2009;Población 25-34 años educ super. HOMBRES;36.3;A
103;2010;Población 25-34 años educ super. HOMBRES;38.2;A
103;2011;Población 25-34 años educ super. HOMBRES;36.5;A
103;2012;Población 25-34 años educ super. HOMBRES;35.9;A
103;2013;Población 25-34 años educ super. HOMBRES;35.9;A
103;2014;Población 25-34 años educ super. HOMBRES;37.1;A
103;2015;Población 25-34 años educ super. HOMBRES;37.1;A
103;2016;Población 25-34 años educ super. HOMBRES;37.8;A
103;2017;Población 25-34 años educ super. HOMBRES;40.0;A
103;2018;Población 25-34 años educ super. HOMBRES;40.6;A
103;2019;Población 25-34 años educ super. HOMBRES;39.9;A
103;2020;Población 25-34 años educ super. HOMBRES;40.8;A
103;2021;Población 25-34 años educ super. HOMBRES;44.0;A
104;2004;Población 25-34 años educ super. HOMBRES;17.3;A
104;2005;Población 25-34 años educ super. HOMBRES;16.5;A
104;2006;Población 25-34 años educ super. HOMBRES;16.6;A
104;2007;Población 25-34 años educ super. HOMBRES;18.2;A
104;2008;Población 25-34 años educ super. HOMBRES;19.5;A
104;2009;Población 25-34 años educ super. HOMBRES;19.2;A
104;2010;Población 25-34 años educ super. HOMBRES;19.7;A
104;2011;Población 25-34 años educ super. HOMBRES;20.1;A
104;2012;Población 25-34 años educ super. HOMBRES;20.9;A
104;2013;Población 25-34 años educ super. HOMBRES;22.0;A
104;2014;Población 25-34 años educ super. HOMBRES;23.9;A
104;2015;Población 25-34 años educ super. HOMBRES;24.6;A
104;2016;Población 25-34 años educ super. HOMBRES;26.1;A
104;2017;Población 25-34 años educ super. HOMBRES;26.8;A
104;2018;Población 25-34 años educ super. HOMBRES;27.3;A
104;2019;Población 25-34 años educ super. HOMBRES;26.4;A
104;2020;Población 25-34 años educ super. HOMBRES;27.2;A
104;2021;Población 25-34 años educ super. HOMBRES;28.0;A
143;2004;Población 25-34 años educ super. HOMBRES;12.7;A
143;2005;Población 25-34 años educ super. HOMBRES;13.8;A
143;2006;Población 25-34 años educ super. HOMBRES;14.7;A
143;2007;Población 25-34 años educ super. HOMBRES;14.0;A
143;2008;Población 25-34 años educ super. HOMBRES;15.7;A
143;2009;Población 25-34 años educ super. HOMBRES;18.1;A
