D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2015;Proporcion Personas con Habilidades Digitales Avanzadas;25.41912946;A
C01;2016;Proporcion Personas con Habilidades Digitales Avanzadas;26.486544888;A
C01;2017;Proporcion Personas con Habilidades Digitales Avanzadas;28.5;A
C01;2019;Proporcion Personas con Habilidades Digitales Avanzadas;34.0;A
C01;2020;Proporcion Personas con Habilidades Digitales Avanzadas;36.8;A
C01;2021;Proporcion Personas con Habilidades Digitales Avanzadas;39.236865184;A
108;2015;Proporcion Personas con Habilidades Digitales Avanzadas;30.0;A
108;2016;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
108;2017;Proporcion Personas con Habilidades Digitales Avanzadas;32.0;A
108;2019;Proporcion Personas con Habilidades Digitales Avanzadas;36.0;A
108;2020;Proporcion Personas con Habilidades Digitales Avanzadas;41.1;A
108;2021;Proporcion Personas con Habilidades Digitales Avanzadas;43.690279507;A
UE28;2015;Proporcion Personas con Habilidades Digitales Avanzadas;28.0;A
UE28;2016;Proporcion Personas con Habilidades Digitales Avanzadas;29.0;A
UE28;2017;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
UE28;2019;Proporcion Personas con Habilidades Digitales Avanzadas;33.0;A
UE28;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE28;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE27NRU;2015;Proporcion Personas con Habilidades Digitales Avanzadas;27.0;A
UE27NRU;2016;Proporcion Personas con Habilidades Digitales Avanzadas;27.0;A
UE27NRU;2017;Proporcion Personas con Habilidades Digitales Avanzadas;29.0;A
UE27NRU;2019;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
UE27NRU;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE27NRU;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE27;2015;Proporcion Personas con Habilidades Digitales Avanzadas;28.0;A
UE27;2016;Proporcion Personas con Habilidades Digitales Avanzadas;29.0;A
UE27;2017;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
UE27;2019;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE27;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE27;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE15;2015;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
UE15;2016;Proporcion Personas con Habilidades Digitales Avanzadas;32.0;A
UE15;2017;Proporcion Personas con Habilidades Digitales Avanzadas;34.0;A
UE15;2019;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE15;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
UE15;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
103;2015;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
103;2016;Proporcion Personas con Habilidades Digitales Avanzadas;32.0;A
103;2017;Proporcion Personas con Habilidades Digitales Avanzadas;31.0;A
103;2019;Proporcion Personas con Habilidades Digitales Avanzadas;34.0;A
103;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
103;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
104;2015;Proporcion Personas con Habilidades Digitales Avanzadas;13.0;A
104;2016;Proporcion Personas con Habilidades Digitales Avanzadas;10.0;A
104;2017;Proporcion Personas con Habilidades Digitales Avanzadas;11.0;A
104;2019;Proporcion Personas con Habilidades Digitales Avanzadas;11.0;A
104;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
104;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
143;2015;Proporcion Personas con Habilidades Digitales Avanzadas;23.0;A
143;2016;Proporcion Personas con Habilidades Digitales Avanzadas;20.0;A
143;2017;Proporcion Personas con Habilidades Digitales Avanzadas;24.0;A
143;2019;Proporcion Personas con Habilidades Digitales Avanzadas;26.0;A
143;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
143;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
107;2015;Proporcion Personas con Habilidades Digitales Avanzadas;48.0;A
107;2016;Proporcion Personas con Habilidades Digitales Avanzadas;53.0;A
107;2017;Proporcion Personas con Habilidades Digitales Avanzadas;47.0;A
107;2019;Proporcion Personas con Habilidades Digitales Avanzadas;49.0;A
107;2020;Proporcion Personas con Habilidades Digitales Avanzadas;;A
107;2021;Proporcion Personas con Habilidades Digitales Avanzadas;;A
